69::Johannes Albrecht
81::Antonio Augusto Alves Jr
5::Guilherme Amadio
27::Giuseppe Andronico
122::Nguyen Anh‐Ky
66::Laurent Aphecetche
5::John Apostolakis 
63::Makoto Asai
5::Luca Atzori
5::Marian Babik
32::Giuseppe Bagliesi
5::Marilena Bandieramonte
16::Sunanda Banerjee
5::Martin Barisits
16::Lothar A. T. Bauerdick
35::Stefano Belforte
82::Douglas Benjamin
63::Catrin Bernius
46::Wahid Bhimji
105::Riccardo Maria Bianchi
5::Ian Bird
52::Catherine Biscarat
5::Jakob Blomer
97::Kenneth Bloom
32::Tommaso Boccali
97::Brian Bockelman
43::Tomasz Bold
25::Daniele Bonacorsi
101::Antonio Boveia
28::Concezio Bozzi
41:93:Marko Bracko
86::David Britton
86::Andy Buckley
5::Predrag Buncic 
46::Paolo Calafiura
5::Simone Campana 
16::Philippe Canal
5::Luca Canali
31::Gianpaolo Carlino
47:96:Nuno Castro
5::Marco Cattaneo
5::Gianluca Cerminara
5::Javier Cervantes Villanueva 
75::Philip Chang
76::John Chapman
23::Gang Chen
1::Taylor Childers
83::Peter Clarke
5::Marco Clemencic
50::Eric Cogneras
76::Jeremy Coles
61::Ian Collier
38::David Colling
5::Gloria Corti
5::Gabriele Cosmo
112::Davide Costanzo
5::Ben Couturier
57::Kyle Cranmer
1::Jack Cranshaw
26::Leonardo Cristella
86:: David Crooks
52::Sabine Crépé‐Renaudin
83::Robert Currie
5::Sünje Dallmeier‐Tiessen
114::Kaushik De
87::Michel De Cian
5::Albert De Roeck
7::Antonio Delgado Peris
51::Frédéric Derue
5::Alessandro Di Girolamo
30::Salvatore Di Guida
5::Gancho Dimitrov5 
91::Caterina Doglioni
63::Andrea Dotti
5::Dirk Duellmann
45::Laurent Duflot
16::Dave Dykstra
5::Katarzyna Dziedziniewicz‐Wojcik
5::Agnieszka Dziurda
38::Ulrik Egede
106::Peter Elmer
2::Johannes Elmsheuser
16::V. Daniel Elvira
5::Giulio Eulisse
46::Steven Farrell
73::Torben Ferber
41::Andrej Filipcic
64::Ian Fisk
14::Conor Fitzpatrick
7:59:José Flix
39::Andrea Formica
92::Alessandra Forti
5::Giovanni Franzoni
104::James Frost
16::Stu Fuess
13::Frank Gaede
5::Gerardo Ganis
80::Robert Gardner
102::Vincent Garonne
13::Andreas Gellrich
16::Krzysztof Genser
